category,karat,item,unit_weight_g,fee_per_g
عيار 24 — السبائك,24,سبيكة 1 جرام,1.0,100.0
عيار 24 — السبائك,24,سبيكة 2.5 جرام,2.5,70.0
عيار 24 — السبائك,24,سبيكة 5 جرام,5.0,63.0
عيار 24 — السبائك,24,سبيكة 10 جرام,10.0,60.0
عيار 24 — السبائك,24,سبيكة 20 جرام,20.0,59.0
عيار 24 — السبائك,24,سبيكة 31.10 جرام,31.1,58.0
عيار 24 — السبائك,24,سبيكة 50 جرام,50.0,57.0
عيار 24 — السبائك,24,سبيكة 100 جرام,100.0,56.0
عيار 24 — السبائك,24,سبيكة 116.65 جرام,116.65,45.0
عيار 24 — السبائك البيضاوية,24,بيضاوية 5 جرام,5.0,70.0
عيار 24 — السبائك البيضاوية,24,بيضاوية 10 جرام,10.0,65.0
عيار 24 — السبائك البيضاوية,24,بيضاوية 15.90 جرام,15.9,60.0
عيار 24 — السبائك البيضاوية,24,بيضاوية 31.45 جرام,31.45,60.0
عيار 24 — خواتم,24,خاتم 24 — 1 جرام,1.0,95.0
عيار 24 — خواتم,24,خاتم 24 — 2.5 جرام,2.5,90.0
عيار 24 — خواتم,24,خاتم 24 — 5 جرام,5.0,90.0
عيار 24 — خواتم,24,خاتم 24 — 10 جرام,10.0,80.0
عيار 24 — إسورة,24,إسورة 24 — 31.1 جرام,31.1,80.0
عيار 24 — إسورة,24,إسورة 24 — 15.55 جرام,15.55,85.0
عيار 24 — كيلو (999.9 & 995),24,ربع كيلو,250.0,26.0
عيار 24 — كيلو (999.9 & 995),24,نصف كيلو,500.0,25.0
عيار 24 — كيلو (999.9 & 995),24,1 كيلو,1000.0,24.0
عيار 24 — كيلو دائري,24,ربع كيلو دائري,250.0,29.0
عيار 24 — كيلو دائري,24,نصف كيلو دائري,500.0,28.0
عيار 24 — كيلو دائري,24,1 كيلو دائري,1000.0,27.0
عيار 24 — هدايا,24,هدية 2.5 جرام,2.5,85.0
عيار 24 — هدايا,24,هدية 5 جرام,5.0,75.0
عيار 24 — هدايا,24,هدية 10 جرام (ملعقة),10.0,60.0
عيار 24 — سبائك ديزني/مارفل,24,ديزني/مارفل 2.5 جرام,2.5,70.0
عيار 24 — سبائك ديزني/مارفل,24,ديزني/مارفل 5 جرام,5.0,63.0
عيار 24 — سبائك ديزني/مارفل,24,ديزني/مارفل 10 جرام,10.0,60.0
عيار 24 — الأميرات,24,أميرات 5 جرام,5.0,70.0
عيار 24 — الأميرات,24,أميرات 10 جرام,10.0,65.0
عيار 24 — الأميرات,24,أميرات 15.9 جرام,15.9,60.0
عيار 24 — الأميرات,24,أميرات 31.10 جرام,31.1,60.0
عيار 24 — قلب تعليقة,24,قلب تعليقة 10.35 جرام,10.35,60.0
عيار 24 — الخرائط,24,خريطة مصر 31.1 جرام,31.1,55.0
عيار 24 — الخرائط,24,خريطة السعودية 31.1 جرام,31.1,55.0
عيار 21 — الجنيهات,21,ربع جنيه,2.0,61.0
عيار 21 — الجنيهات,21,نصف جنيه,4.0,55.0
عيار 21 — الجنيهات,21,جنيه,8.0,50.0
عيار 21 — الجنيهات,21,2.5 جنيه,20.0,48.0
عيار 21 — الجنيهات,21,خمسة جنيه,40.0,45.0
عيار 21 — الجنيهات,21,عشرة جنيه,80.0,42.0
عيار 21 — جنيهات تعليقة,21,ربع جنيه تعليقة,2.35,80.0
عيار 21 — جنيهات تعليقة,21,نصف جنيه تعليقة,4.35,75.0
عيار 21 — جنيهات تعليقة,21,جنيه تعليقة,8.35,70.0
عيار 21 — جنيهات ديزني/مارفل,21,ربع جنيه ديزني/مارفل,2.0,61.0
عيار 21 — جنيهات ديزني/مارفل,21,نصف جنيه ديزني/مارفل,4.0,55.0
عيار 21 — جنيهات ديزني/مارفل,21,جنيه ديزني/مارفل,8.0,50.0
عيار 21 — جنيهات ديزني/مارفل,21,5 جنيه ديزني/مارفل,40.0,45.0
عيار 21 — جنيهات تعليقة مارفل,21,ربع جنيه تعليقة مارفل,2.35,80.0
عيار 21 — جنيهات تعليقة مارفل,21,نصف جنيه تعليقة مارفل,4.35,75.0
عيار 21 — جنيهات تعليقة مارفل,21,جنيه تعليقة مارفل,8.35,70.0
عيار 21 — خواتم,21,خاتم ربع جنيه,2.0,95.0
عيار 21 — خواتم,21,خاتم نصف جنيه,4.0,90.0
عيار 21 — إسورة,21,إسورة 30 جرام سادة,30.0,76.0
عيار 21 — إسورة,21,إسورة 30 جرام مجدول,30.0,81.0
عيار 21 — إطارات (فريمات),21,فريم (جميع الأوزان),0.0,75.0
عيار 21 — سلسلة,21,سلسلة (جميع الأوزان),0.0,155.0
